Chiropractors,"21,530",2.7,49.02,"101,950",0.8,29.12,36.85,47.26,61.11,77.44,"60,580","76,650","98,300","127,110","161,080",,
Civil Engineering Technologists and Technicians,"278,240",1,46.64,"97,000",0.6,29.21,36.56,45.82,57.78,65.49,"60,750","76,050","95,300","120,180","136,210",,
Civil Engineers,"7,370",3.7,48.29,"100,450",1.1,23.41,33.71,46.68,61.31,78.23,"48,690","70,110","97,090","127,530","162,720",,
"Claims Adjusters, Examiners, and Investigators","12,670",5.1,58.54,"121,760",2.3,36.28,45.12,57.87,65.5,81.25,"75,460","93,840","120,380","136,240","169,000",,
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","22,100",4.2,70.06,"145,720",1.3,37.69,48.5,62.91,80.65,#,"78,390","100,880","130,850","167,750",#,,
Clergy,"151,940",1.6,51.83,"107,800",0.6,28.24,37.29,48.38,62.81,79.18,"58,730","77,560","100,640","130,650","164,690",,
Clinical Laboratory Technologists and Technicians,"101,310",1.7,29.14,"60,620",0.6,17.96,22.81,29.01,36.03,38.73,"37,370","47,450","60,340","74,940","80,560",,
Coaches and Scouts,"20,830",3.7,32.26,"67,090",1.2,18.33,23.3,29.57,37.84,47.7,"38,120","48,460","61,510","78,700","99,210",,
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","47,760",1.9,30.12,"62,650",0.7,18.07,22.71,28.94,36.61,46.09,"37,590","47,230","60,200","76,150","95,860",,
"Coil Winders, Tapers, and Finishers","15,300",3.7,28.04,"58,330",1.2,17.74,22.19,26.08,32.63,41.09,"36,900","46,150","54,240","67,880","85,470",,
Commercial and Industrial Designers,"10,900",5.1,35.34,"73,510",1.7,22.62,27.78,35.37,45.45,49.64,"47,040","57,780","73,580","94,530","103,260",,
Commercial Divers,"64,170",1.9,27.89,"58,000",0.8,17.57,20.25,28.04,35.23,38.29,"36,550","42,110","58,320","73,280","79,650",,
Commercial Pilots,"101,450",1.4,33.21,"69,070",0.5,19.16,23.72,30.6,38.02,47.7,"39,840","49,330","63,640","79,080","99,210",,
Communications Equipment Operators,"11,590",4.6,30.71,"63,880",1.4,18.1,22.92,29.02,36.98,47.15,"37,650","47,680","60,360","76,920","98,070",,
"Communications Equipment Operators, All Other","14,910",5.5,27.21,"56,590",1.5,17.24,18.2,23.27,32.15,40.74,"35,870","37,850","48,390","66,870","84,740",,
"Communications Teachers, Postsecondary","62,030",2,29.44,"61,230",0.5,18.17,22.79,28.95,36.34,41.12,"37,790","47,410","60,220","75,600","85,530",,
Community and Social Service Occupations,"40,180",2.2,30.47,"63,390",0.6,18.11,22.93,29.07,36.83,45.82,"37,670","47,700","60,460","76,600","95,300",,
"Community and Social Service Specialists, All Other","8,500",4.9,30.19,"62,800",1.4,17.76,22.65,29.01,36.98,46.07,"36,930","47,110","60,340","76,920","95,820",,
Community Health Workers,"73,600",1.8,32.83,"68,290",0.6,18.05,22.93,29.78,39.18,48.68,"37,530","47,690","61,950","81,490","101,240",,
Compensation and Benefits Managers,"56,070",2.7,23.95,"49,810",0.9,14.31,17.77,22.55,28.75,36.6,"29,770","36,960","46,910","59,790","76,130",,
Compliance Officers,"2,790",7.1,38.65,"80,390",7.2,22.56,25.21,31.29,43.08,62.24,"46,930","52,430","65,090","89,610","129,470",,
Computer and Information Analysts,"13,510",4.8,40.46,"84,150",2,21.64,28.91,37.66,48.65,62.76,"45,010","60,130","78,340","101,180","130,540",,
Computer and Information Research Scientists,"15,610",4.8,36.68,"76,290",2,19.22,24.15,32.09,45.08,61.03,"39,980","50,230","66,750","93,770","126,950",,
Computer and Information Systems Managers,"35,050",6.7,54.55,"113,460",2.2,29.37,37.98,49.17,63.65,80.39,"61,090","79,000","102,270","132,390","167,210",,
Computer and Information Systems Managers,"19,430",3.9,42.22,"87,820",1.4,22.9,28.78,38.11,52.89,65.76,"47,630","59,860","79,260","110,010","136,780",,
